202000001, Science, 70
202000002, Science, 85
202000003, Math, 84
202000004, Science, 79
202000005, Math, 84
202000006, Math, 93
202000007, Math, 94
202000008, Math, 94
202000009, Math, 82
202000010, Math, 99
202000011, English, 90
202000012, Math, 84
202000013, Science, 89
202000014, Science, 80
202000015, English, 83
202000014, Math, 78
202000015, Math, 83
202000010, English, 89
202000011, Science, 99
202000012, Science, 99
202000013, Math, 80
202000015, Science, 72
202000012, English, 78
202000014, English, 93
202000005, English, 91
202000006, Science, 81
202000007, Science, 99
202000008, English, 92
202000009, Science, 83
202000007, English, 95
202000008, Science, 95
202000009, English, 75
202000011, Math, 94
202000013, English, 97
202000001, Math, 97
202000003, English, 78
202000004, English, 81
202000010, Science, 72
202000005, Science, 73
202000006, English, 90
202000002, Math, 88
202000003, Science, 99
202000004, Math, 76
202000001, English, 86
202000002, English, 98
